nohup: ignoring input
=== Linux 监控采集器已启动 ===
[系统] 数据库初始化完成: monitor.db
开始循环采集 (按 Ctrl+C 停止)...

[06:44:09] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:44:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:44:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:44:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:44:34] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:44:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:44:46] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:44:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:44:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:10] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:45:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:34] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:46] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:45:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:10] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:46:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:34] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:46] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:46:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:10] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:47:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:34] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:46] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:47:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:10] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:48:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:34] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
